chromosome,population,genetic_map,total_clades,clade_num,clade_id,nlog10p,nlog10p_event,cladesize,duration,start,end,mut_duration,event_duration,left_mut,right_mut,num_mutations,merged,chunk_index,tree_index,node_id,band
chr1,SAS,HapMapII_GRCh37,24474486,5906958,11019,12.07684709,13.3822157,765,230444,41479862,41710307,229048,76,41479864,41708912,20,10,32,550,976412,1p34.2
chr1,SAS,HapMapII_GRCh37,24474486,6799378,14096,12.22518753,11.18751234,403,84714,53357171,53441886,75840,42,53364976,53440816,10,3,38,556,973937,1p32.3
chr1,SAS,HapMapII_GRCh37,24474486,8845426,20451,11.65401524,16.24268038,591,133928,73513429,73647358,131711,60,73515337,73647048,54,12,51,915,977032,1p31.1
chr1,SAS,HapMapII_GRCh37,24474486,10227773,25571,10.47885352,11.97025335,710,150240,89141127,89291367,148715,64,89142142,89290857,11,7,61,855,968958,1p22.2
chr1,SAS,HapMapII_GRCh37,24474486,20704378,58140,14.94682165,10.51171917,858,280574,225121515,225402090,262246,119,225121552,225383798,48,13,129,385,977050,1q42.12
chr1,SAS,HapMapII_GRCh37,24474486,20705408,58155,12.52212664,12.26494333,764,183068,225156683,225339751,180780,81,225156844,225337624,41,12,129,398,975388,1q42.12
chr1,SAS,HapMapII_GRCh37,24474486,20886735,58793,12.45198731,10.67271199,928,288453,227228950,227517404,287365,160,227228955,227516320,11,3,130,694,975679,1q42.13
chr10,AMR,HapMapII_GRCh37,10930511,3541244,13843,14.68226048,13.98348517,220,453463,32715818,33169281,448286,106,32720403,33168689,67,1,31,731,684896,10p11.22
chr10,AMR,HapMapII_GRCh37,10930511,5281129,24053,11.03912549,17.34057978,216,255667,64887025,65142692,252584,87,64887856,65140440,38,10,48,464,689510,10q21.3
chr10,AMR,HapMapII_GRCh37,10930511,6468850,30449,23.64504321,13.48099492,104,655080,81298858,81953938,554549,313,81322280,81876829,29,17,59,495,651513,10q22.3
chr10,EAS,HapMapII_GRCh37,14602383,5256873,10719,2.859579221,4.880602144,44,4610679,38370612,42981292,4390894,272,38372890,42763784,282,2,35,247,968552,10q11.1
chr10,EAS,HapMapII_GRCh37,14602383,5257463,10727,16.44230994,21.44605469,964,4374010,38383266,42757276,4342126,247,38410660,42752786,21,13,35,254,1007786,10q11.1
chr10,EAS,HapMapII_GRCh37,14602383,8656433,20029,43.42774548,12.90582222,19,757877,81267937,82025814,722175,432,81285966,82008141,171,7,59,453,1000419,10q22.3
chr10,EAS,HapMapII_GRCh37,14602383,8670229,20044,87.95093331,23.39659508,989,656240,81330663,81986904,591457,359,81330664,81922121,24,19,59,521,1007178,10q22.3
chr10,EUR,HapMapII_GRCh37,12992689,3194815,7311,24.82022013,10.69239953,981,463424,21813888,22277312,445589,193,21813958,22259547,43,11,23,67,1004671,10p12.31
chr10,EUR,HapMapII_GRCh37,12992689,4255142,10615,14.03496119,16.36238885,468,436860,32732421,33169281,435626,101,32733063,33168689,48,4,31,737,991231,10p11.22
chr10,EUR,HapMapII_GRCh37,12992689,7687009,23130,46.18889856,14.91284665,71,656257,81263542,81919799,653138,433,81265224,81918362,55,19,59,444,956355,10q22.3
chr10,EUR,HapMapII_GRCh37,12992689,7695190,23137,56.63108014,13.28826775,70,701941,81298858,82000800,669121,374,81322280,81991401,53,9,59,495,972176,10q22.3
chr10,EUR,HapMapII_GRCh37,12992689,9221618,29005,11.70894471,11.40909081,660,142430,100932764,101075195,140915,50,100934019,101074934,53,1,71,661,1000836,10q24.2
chr10,SAS,HapMapII_GRCh37,15581506,5108640,11719,14.00691546,13.35988736,292,432035,32737246,33169281,426455,96,32742234,33168689,46,7,31,741,969997,10p11.22
chr10,SAS,HapMapII_GRCh37,15581506,9275098,24902,129.961624,51.27382831,208,674991,81278947,81953938,632396,400,81285966,81918362,103,13,59,466,971004,10q22.3
chr10,SAS,HapMapII_GRCh37,15581506,10672448,29973,13.10737659,11.7362145,387,135906,96855424,96991331,135158,75,96855958,96991116,32,6,68,972,973067,10q23.33
chr10,SAS,HapMapII_GRCh37,15581506,10672505,29976,14.50198304,16.26308382,539,135324,96856007,96991331,131427,73,96856010,96987437,53,3,68,973,974883,10q23.33
chr10,SAS,HapMapII_GRCh37,15581506,10672544,29978,18.48467893,16.34390139,439,131281,96856662,96987943,127449,71,96858252,96985701,34,10,68,974,977265,10q23.33
chr11,AFR,HapMapII_GRCh37,13944800,5658173,30510,16.33508733,14.90228247,16,375022,55822789,56197812,371813,219,55824175,56195988,269,27,38,630,1319404,11q12.1
chr11,AMR,HapMapII_GRCh37,10294921,4159028,18775,13.35982009,18.84313052,675,973893,49400370,50374263,969369,306,49400373,50369742,11,16,37,865,692352,11p11.12
chr11,AMR,HapMapII_GRCh37,10294921,4189319,18946,12.69655997,19.42822091,218,382006,55097011,55479017,343025,201,55135435,55478460,10,10,38,248,678345,11q11
chr11,AMR,HapMapII_GRCh37,10294921,4192244,18974,12.44577982,22.73388729,225,199294,55279723,55479017,196214,174,55281703,55477917,65,7,38,311,684826,11q11
chr11,AMR,HapMapII_GRCh37,10294921,4212561,19101,13.28472481,19.11678421,31,375023,55822789,56197812,371813,219,55824175,56195988,295,22,38,630,691145,11q12.1
chr11,AMR,HapMapII_GRCh37,10294921,4212562,19102,11.66810841,17.78275502,663,457842,55822789,56280631,318985,190,55823579,56142564,150,30,38,630,691192,11q12.1
chr11,EAS,HapMapII_GRCh37,13646017,5521970,12556,10.62109624,21.16506062,283,485990,49802768,50288758,475544,96,49812523,50288067,20,14,38,36,1006669,11p11.12
chr11,EAS,HapMapII_GRCh37,13646017,5544853,12632,10.08741529,24.36702142,394,251316,55221351,55472667,203641,172,55267353,55470994,70,6,38,292,998214,11q11
chr11,EAS,HapMapII_GRCh37,13646017,5546033,12645,13.46499987,21.69696287,613,181769,55289146,55470915,180849,152,55289154,55470003,17,16,38,326,1006057,11q11
chr11,EUR,HapMapII_GRCh37,12153591,4990050,14665,17.43748905,21.75457411,123,548474,55035854,55584328,523375,342,55049520,55572895,48,11,38,183,994220,11q11
chr11,EUR,HapMapII_GRCh37,12153591,4997177,14711,11.97975187,23.58620558,285,199294,55279723,55479017,196214,174,55281703,55477917,65,7,38,311,999618,11q11
chr11,EUR,HapMapII_GRCh37,12153591,5027079,14883,3.259562193,3.289665185,92,67846,56093500,56161346,64165,47,56093665,56157830,30,2,38,784,1000826,11q12.1
chr11,EUR,HapMapII_GRCh37,12153591,5027421,14888,11.58298701,11.85052822,373,95311,56102234,56197545,94463,65,56102448,56196911,31,1,38,786,1002628,11q12.1
chr11,SAS,HapMapII_GRCh37,14600936,5924588,16189,12.56098527,20.93002846,226,172021,55306996,55479017,169490,142,55308970,55478460,53,2,38,344,968799,11q11
chr11,SAS,HapMapII_GRCh37,14600936,5926158,16194,11.78091501,20.7929628,348,152098,55324284,55476382,149526,117,55325674,55475200,12,7,38,367,972462,11q11
chr11,SAS,HapMapII_GRCh37,14600936,5961023,16354,2.17323993,2.145833643,56,134245,56063567,56197812,129361,76,56066627,56195988,97,1,38,772,958808,11q12.1
chr11,SAS,HapMapII_GRCh37,14600936,5962438,16363,11.08593829,10.90704814,563,93798,56102234,56196032,93506,64,56102448,56195954,38,3,38,786,972969,11q12.1
chr12,AFR,HapMapII_GRCh37,14261952,4700300,22227,12.18193323,11.83280722,474,100491,42435430,42535922,97012,53,42437479,42534491,16,7,30,1,1318800,12q12
chr12,AFR,HapMapII_GRCh37,14261952,6468446,33994,17.39793126,12.03278711,456,181439,62646745,62828184,158341,62,62669178,62827519,48,4,42,73,1316321,12q14.1
chr12,AMR,HapMapII_GRCh37,10428006,7878187,39436,12.35226431,13.74466241,538,265709,112523037,112788746,246731,63,112530702,112777433,18,11,72,922,691379,12q24.13
chr12,EAS,HapMapII_GRCh37,13956323,4374639,8391,13.66670423,10.77245596,80,239925,33843568,34083494,236592,131,33846524,34083116,124,1,27,325,1002261,12p11.1
chr12,EAS,HapMapII_GRCh37,13956323,4377625,8418,14.20529072,13.97485534,83,172489,33907109,34079598,161200,96,33910914,34072114,50,12,27,353,1006676,12p11.1
chr12,EAS,HapMapII_GRCh37,13956323,4378111,8421,13.92044409,11.08053814,925,156762,33914274,34071036,149851,88,33914444,34064295,32,13,27,360,1007321,12p11.1
chr12,EAS,HapMapII_GRCh37,13956323,10517812,26222,12.26783893,17.00735305,578,334390,112561941,112896331,331147,76,112563994,112895141,71,6,72,937,1003764,12q24.13
chr12,EAS,HapMapII_GRCh37,13956323,10518024,26224,10.9460271,12.03977413,430,294844,112571159,112866003,169115,43,112577990,112747105,18,6,72,938,1006509,12q24.13
chr12,EUR,HapMapII_GRCh37,12473726,3681227,8788,12.32770315,14.30421623,420,175628,31560063,31735691,171133,61,31563280,31734413,34,4,25,588,1001209,12p11.21
chr12,EUR,HapMapII_GRCh37,12473726,3682591,8800,12.57782502,11.07488781,545,123247,31602362,31725609,120042,44,31603938,31723980,12,5,25,605,1004707,12p11.21
chr12,EUR,HapMapII_GRCh37,12473726,5641704,16435,11.34362001,11.6648674,697,147754,62656246,62804000,141646,54,62658720,62800366,24,7,42,75,1002285,12q14.1
chr12,EUR,HapMapII_GRCh37,12473726,9268692,30257,15.9191983,15.36027077,887,343029,110747511,111090540,335962,130,110749918,111085880,35,23,72,171,1002434,12q24.11
chr12,SAS,HapMapII_GRCh37,14827914,2089508,3160,60.73436694,17.44573402,727,194522,11128832,11323354,193606,79,11129433,11323039,55,11,10,677,976620,12p13.2
chr12,SAS,HapMapII_GRCh37,14827914,4362669,9366,11.59041059,12.26666259,455,140981,31533846,31674827,133174,56,31538066,31671240,48,0,25,575,972796,12p11.21
chr12,SAS,HapMapII_GRCh37,14827914,4362670,9367,11.08967062,10.6629006,383,131911,31533846,31665757,127715,51,31536772,31664487,13,8,25,575,974121,12p11.21
chr12,SAS,HapMapII_GRCh37,14827914,4362671,9368,11.68964351,11.87252649,595,131911,31533846,31665757,115975,49,31537918,31653893,28,10,25,575,976479,12p11.21
chr12,SAS,HapMapII_GRCh37,14827914,11212888,33225,13.37156098,10.8981432,772,236792,112580064,112816856,222764,51,112582401,112805165,20,8,72,943,976368,12q24.13
chr13,AFR,HapMapII_GRCh37,10383610,5568665,33286,10.64201934,15.92738531,469,193066,73377956,73571022,170984,94,73398946,73569930,20,7,38,234,1316885,13q22.1
chr13,AMR,HapMapII_GRCh37,7559311,2685831,11742,12.8788401,12.15240928,623,251266,48892086,49143352,246818,95,48892092,49138910,11,5,23,976,685725,13q14.2
chr13,SAS,HapMapII_GRCh37,10803519,117043,232,12.59898948,10.67984538,458,104992,19813569,19918561,97859,61,19819407,19917266,54,4,0,588,973924,13q12.11
chr14,AMR,HapMapII_GRCh37,7118287,3603435,17549,14.41722128,13.33529845,682,860898,67018661,67879559,632533,214,67245223,67877756,116,19,33,995,692055,14q23.3
chr14,EUR,HapMapII_GRCh37,8503594,1318091,3233,11.0162688,17.73164382,669,150747,32092686,32243433,124668,98,32109232,32233900,22,16,9,97,1005643,14q12
chr14,EUR,HapMapII_GRCh37,8503594,4265193,13643,17.12689366,17.22075925,989,860898,67018661,67879559,805264,267,67072492,67877756,126,23,33,995,1004615,14q23.3
chr15,AMR,HapMapII_GRCh37,7335993,2783417,11238,11.56025563,12.78868999,146,271229,57215859,57487088,263484,126,57216986,57480470,37,7,24,366,683797,15q21.3
chr15,AMR,HapMapII_GRCh37,7335993,2783465,11240,14.71275473,16.19104509,225,269921,57217167,57487088,254586,119,57231034,57485620,20,6,24,367,684338,15q21.3
chr15,EAS,HapMapII_GRCh37,9906112,5969433,12033,10.51657945,26.35548625,264,293076,76747001,77040077,288174,140,76748861,77037035,91,7,39,154,1004157,15q24.3
chr15,SAS,HapMapII_GRCh37,10513164,1306389,1802,62.3657068,14.21279283,20,650651,31734421,32385072,622951,472,31741216,32364167,30,7,6,385,962579,15q13.3
chr15,SAS,HapMapII_GRCh37,10513164,6343894,14854,10.54537836,17.60406425,334,200042,76674620,76874662,185281,92,76686936,76872217,23,6,39,123,972974,15q24.3
chr16,EUR,HapMapII_GRCh37,10504371,3531255,6660,124.4019809,23.50059903,996,1275185,21284426,22559611,1147619,333,21284435,22432054,32,8,23,713,1005684,16p12.2
chr17,AFR,HapMapII_GRCh37,10544568,5569102,20111,128.6859594,15.07549001,20,784282,43572888,44357170,781885,446,43573419,44355304,848,20,30,974,1315245,17q21.31
chr17,AFR,HapMapII_GRCh37,10544568,5569106,20112,185.8764114,21.16742865,1302,761350,43572888,44334239,761156,424,43572896,44334052,675,43,30,974,1320362,17q21.31
chr17,AFR,HapMapII_GRCh37,10544568,5581764,20122,135.7547651,22.52480701,1307,705032,43659470,44364502,704772,411,43659526,44364298,10,9,31,21,1320823,17q21.31
chr17,AFR,HapMapII_GRCh37,10544568,5585069,20128,99.81169135,12.89476889,21,703094,43665828,44368922,701458,406,43665838,44367296,191,19,31,29,1315823,17q21.31
chr17,AFR,HapMapII_GRCh37,10544568,5585073,20129,146.8534436,19.31578313,1301,703094,43665828,44368922,702180,406,43666251,44368431,197,15,31,29,1320379,17q21.31
chr17,AMR,HapMapII_GRCh37,7580433,3952591,12754,112.0723612,15.66777567,109,764070,43572888,44336959,762399,427,43573419,44335818,1168,16,30,974,669706,17q21.31
chr17,AMR,HapMapII_GRCh37,7580433,3952609,12755,196.2613899,28.5567256,585,776034,43572888,44348923,775474,431,43572896,44348370,985,49,30,974,692111,17q21.31
chr17,AMR,HapMapII_GRCh37,7580433,3961019,12761,74.60925456,14.55419818,98,711486,43657436,44368922,709803,416,43658409,44368212,124,13,31,17,621196,17q21.31
chr17,AMR,HapMapII_GRCh37,7580433,3964253,12763,97.36465368,13.78989624,101,705048,43664278,44369327,693515,400,43675431,44368946,66,14,31,27,666092,17q21.31
chr17,EUR,HapMapII_GRCh37,9328251,4907443,9758,114.1397687,20.47468617,201,707066,43657436,44364502,704597,410,43659738,44364335,67,9,31,17,955222,17q21.31
chr17,EUR,HapMapII_GRCh37,9328251,4915670,9767,190.0165675,40.91437664,242,619698,43685842,44305540,618606,334,43686420,44305026,453,6,31,41,995414,17q21.31
chr17,EUR,HapMapII_GRCh37,9328251,4915681,9768,51.60508606,20.04723394,764,623410,43685842,44309253,265508,119,44039691,44305199,419,13,31,41,1003669,17q21.31
chr17,EUR,HapMapII_GRCh37,9328251,4917107,9769,114.576275,21.09262921,241,342283,43697284,44039567,306468,209,43733048,44039516,677,4,31,47,985692,17q21.31
chr17,EUR,HapMapII_GRCh37,9328251,4917618,9771,176.3962236,32.43199604,765,306360,43733206,44039567,305265,207,43734145,44039410,537,21,31,48,1002834,17q21.31
chr17,SAS,HapMapII_GRCh37,10852593,5737805,10345,55.19840276,11.09099395,60,517081,43697284,44214365,480664,299,43733048,44213712,951,6,31,47,924648,17q21.31
chr17,SAS,HapMapII_GRCh37,10852593,5737862,10346,92.92928157,19.079112,918,515911,43697284,44213195,478637,296,43734145,44212782,778,27,31,47,973927,17q21.31
chr18,AFR,HapMapII_GRCh37,9295826,2635430,7059,21.077873,11.82670187,461,116412,12108386,12224798,115164,59,12109336,12224500,65,10,13,967,1319097,18p11.21
chr18,AMR,HapMapII_GRCh37,6803272,1873528,5062,17.19344605,12.21500552,299,116412,12108386,12224798,115106,59,12109336,12224442,62,10,13,967,691276,18p11.21
chr18,AMR,HapMapII_GRCh37,6803272,3058294,10852,14.37056211,10.76545722,480,118674,33165767,33284441,107488,54,33174348,33281836,16,7,24,853,691731,18q12.2
chr2,AMR,HapMapII_GRCh37,17932403,3078635,11628,11.79621963,11.65359413,153,206773,30664100,30870873,198344,132,30666831,30865175,41,16,25,331,680037,2p23.1-1
chr2,AMR,HapMapII_GRCh37,17932403,3079489,11658,13.81008338,14.51040043,541,165636,30698249,30863885,145877,95,30698287,30844164,12,8,25,349,691088,2p23.1-1
chr2,EAS,HapMapII_GRCh37,24003084,2018685,3096,10.63108905,11.36613001,557,160135,11325296,11485431,140210,47,11325331,11465541,10,7,11,325,1005601,2p25.1
chr2,EUR,HapMapII_GRCh37,21055567,3779210,9320,13.33998896,19.98461459,996,672283,31753610,32425893,587003,343,31755296,32342299,30,28,26,455,1005380,2p23.1-2
chr2,EUR,HapMapII_GRCh37,21055567,6974127,19035,17.4220182,15.21724534,988,361132,63931145,64292277,359583,167,63931149,64290732,56,17,55,306,1005993,2p14
chr2,EUR,HapMapII_GRCh37,21055567,13404714,41374,10.94953433,11.03815854,308,99708,154796360,154896068,95231,67,154797314,154892545,26,5,108,478,1000176,2q23.3
chr2,EUR,HapMapII_GRCh37,21055567,15860884,51016,21.64001823,12.15511717,992,648712,188922010,189570722,539967,195,189022248,189562215,10,11,129,545,1005241,2q32.1
chr20,AFR,HapMapII_GRCh37,7936591,687669,1539,15.20876737,11.99174612,824,126682,3230627,3357309,118554,65,3233142,3351696,45,12,3,672,1319389,20p13
chr20,AMR,HapMapII_GRCh37,5760934,493355,1107,10.76237798,13.81253155,564,154124,3232596,3386720,151915,72,3233091,3385006,50,14,3,674,690688,20p13
chr20,SAS,HapMapII_GRCh37,8161931,5441542,12898,11.85884979,14.30822473,352,188178,47541513,47729692,185479,66,47541600,47727079,39,6,34,172,973934,20q13.13
chr3,AMR,HapMapII_GRCh37,14702966,7851393,36881,11.47673493,11.13722362,488,88680,102522780,102611460,81578,62,102526201,102607779,44,7,76,409,688147,3q12.3
chr4,EAS,HapMapII_GRCh37,18929827,7455980,18129,12.18043373,11.02406481,894,205231,70080653,70285884,178973,101,70106685,70285658,38,20,52,440,1005812,4q13.2
chr4,EAS,HapMapII_GRCh37,18929827,15819411,43042,13.95837323,11.43489484,793,203424,170337614,170541038,201547,61,170338453,170540000,35,12,116,390,1005922,4q33
chr4,EUR,HapMapII_GRCh37,16847312,4200864,11657,12.40850387,12.09139924,510,79616,36434528,36514145,71739,60,36438684,36510423,11,5,31,385,1004154,4p14
chr4,EUR,HapMapII_GRCh37,16847312,6623385,21182,14.39715912,12.1973284,849,205231,70080653,70285884,178973,101,70106685,70285658,19,10,52,440,1003537,4q13.2
chr4,SAS,HapMapII_GRCh37,20345643,8890005,26833,14.34116619,11.76614964,966,416020,81237793,81653813,390599,205,81239784,81630383,29,27,59,201,977049,4q21.21
chr5,AFR,HapMapII_GRCh37,17663030,10610977,69347,12.05409418,12.19009165,932,61106,115462152,115523258,60372,58,115462161,115522533,29,10,75,374,1319502,5q23.1
chr5,AMR,HapMapII_GRCh37,12916361,15315,49,12.07663333,11.30818981,167,94054,209021,303075,80829,51,220614,301443,62,11,0,101,692642,5p15.33
chr5,AMR,HapMapII_GRCh37,12916361,4002123,19946,13.14130998,14.58930769,122,201076,52853385,53054461,197028,98,52853397,53050425,53,4,36,720,687819,5q11.2
chr5,EUR,HapMapII_GRCh37,15245857,8082548,28132,10.99300549,13.20030982,349,187514,101647064,101834579,183700,84,101647925,101831625,119,0,65,146,1002757,5q21.1
chr5,EUR,HapMapII_GRCh37,15245857,9137684,32295,26.29811556,31.18301941,667,173414,115423526,115596941,155304,140,115426746,115582050,11,12,75,347,1003968,5q23.1
chr5,EUR,HapMapII_GRCh37,15245857,9139102,32317,10.93716337,12.87370577,187,95788,115456214,115552003,91832,93,115456516,115548348,28,12,75,368,1002175,5q23.1
chr5,EUR,HapMapII_GRCh37,15245857,9139862,32329,10.97705331,15.60631622,819,76969,115475980,115552949,73461,80,115479209,115552670,45,8,75,383,1004185,5q23.1
chr5,SAS,HapMapII_GRCh37,18398874,10408017,32571,15.75504459,13.49037844,375,137368,109053314,109190682,130432,67,109059208,109189640,34,5,70,132,973143,5q21.3
chr5,SAS,HapMapII_GRCh37,18398874,10408681,32573,12.31155614,11.36765008,488,114762,109065699,109180462,105167,52,109072211,109177378,10,6,70,139,974730,5q21.3
chr5,SAS,HapMapII_GRCh37,18398874,10813193,33832,22.07360925,10.71301059,123,230273,112712223,112942496,225332,111,112715374,112940706,26,14,73,117,975301,5q22.2
chr5,SAS,HapMapII_GRCh37,18398874,11096899,34865,10.70814253,12.52256051,147,102987,115449962,115552949,100028,99,115449993,115550021,14,11,75,364,974637,5q23.1
chr5,SAS,HapMapII_GRCh37,18398874,12571770,40139,11.39371052,12.29661212,967,811138,130581397,131392535,806196,304,130585553,131391749,24,19,86,399,975218,5q31.1
chr6,AFR,HapMapII_GRCh37,17079892,5688965,26775,12.23127679,12.2030078,1202,208706,45136222,45344928,190515,92,45136347,45326862,15,8,36,595,1321130,6p21.1
chr6,AFR,HapMapII_GRCh37,17079892,6674385,34942,27.95696601,43.96136897,228,307705,57355607,57663312,306322,306,57356646,57662968,64,7,43,813,1313075,6p11.2
chr6,AFR,HapMapII_GRCh37,17079892,6674550,34943,35.80309392,48.19618585,1094,306355,57356957,57663312,304403,304,57356965,57661368,11,16,43,814,1319847,6p11.2
chr6,AFR,HapMapII_GRCh37,17079892,6809708,35149,19.76953022,15.31420052,45,4452619,57791239,62243859,4445220,431,57794282,62239502,14,7,44,195,1305371,6p11.1
chr6,AFR,HapMapII_GRCh37,17079892,11150379,72743,10.88569292,13.00020826,316,227960,118744463,118972423,195133,73,118746758,118941891,39,9,78,488,1320508,6q22.31-1
chr6,AFR,HapMapII_GRCh37,17079892,11150466,72749,14.35490629,18.20254831,500,219044,118748269,118967314,216350,79,118748273,118964623,58,8,78,490,1318552,6q22.31-1
chr6,AMR,HapMapII_GRCh37,12515470,3528176,15259,13.55549628,20.38234493,199,344148,37774460,38118608,312205,135,37778825,38091030,24,5,31,214,687462,6p21.2
chr6,AMR,HapMapII_GRCh37,12515470,3528178,15260,13.76711139,21.85790026,203,344148,37774460,38118608,281469,122,37811801,38093270,11,13,31,214,688480,6p21.2
chr6,AMR,HapMapII_GRCh37,12515470,3528228,15266,18.81866208,26.21285056,320,320510,37781707,38102217,303170,132,37788220,38091390,25,17,31,215,688531,6p21.2
chr6,AMR,HapMapII_GRCh37,12515470,3528263,15267,21.25721427,28.1533676,355,297186,37785423,38082609,289874,123,37791141,38081015,24,13,31,216,690874,6p21.2
chr6,AMR,HapMapII_GRCh37,12515470,4137471,17856,14.42601364,18.93853399,294,191952,45014177,45206130,176148,95,45027770,45203918,21,10,36,538,688434,6p21.1
chr6,AMR,HapMapII_GRCh37,12515470,4137730,17860,12.59359513,11.81114468,178,322825,45022103,45344928,316775,145,45023076,45339851,74,8,36,541,683929,6p21.1
chr6,AMR,HapMapII_GRCh37,12515470,4137733,17861,15.76160003,14.6922496,115,322825,45022103,45344928,317498,143,45027356,45344854,115,4,36,541,685603,6p21.1
chr6,AMR,HapMapII_GRCh37,12515470,4137858,17864,23.3869466,27.27641875,383,321664,45023710,45345374,317140,144,45024911,45342051,35,17,36,543,687786,6p21.1
chr6,AMR,HapMapII_GRCh37,12515470,4138622,17871,15.68709185,19.38652592,394,142068,45058603,45200671,138618,82,45059674,45198292,15,10,36,555,691024,6p21.1
chr6,AMR,HapMapII_GRCh37,12515470,4142601,17885,10.97221444,14.6187241,510,209413,45135515,45344928,190515,92,45136347,45326862,17,10,36,594,692043,6p21.1
chr6,AMR,HapMapII_GRCh37,12515470,4142838,17886,14.61815011,18.36118069,395,174644,45141580,45316224,173002,85,45143200,45316202,18,10,36,598,692498,6p21.1
chr6,AMR,HapMapII_GRCh37,12515470,4884779,22586,12.83986599,11.94716611,126,100136,57330214,57430350,97669,97,57331240,57428909,11,4,43,794,688191,6p11.2
