band	focal	pos	frequencies	ld	true_region_size	matched_region_size	matched_start	matched_end	region_gen_size	matched_gen_size	selection_snp_count	selection_snp_count_50kb	selection_snp_count_100kb	selection_snp_count_200kb	num_gene_overlaps	meiotic_genes	meiotic_genes_all	gene_overlap_strong	gwas	eqtl
1p33	1	48820294	0.66 0.34 0.56 0.79 0.54	0.0 0.0 0.01 0.32 1.07	198607	198606	48725511	48924117	0.01	0.01	0	0	0	0	1	1	1	1	0	SLC5A9(eqtl:0.9:rs11205476);SPATA6(eqtl:0.4:rs11205476;sqtl:0.3:rs11205476)
1p33	0	39944180	0.66 0.28 0.79 0.57 0.59	0.01 0.02 0.03 0.32 0.93	198607	198607	39844876	40043483	0.01	0.04	0	0	0	0	7	2	0	0	FEV1(rs6665948:1:0.02);Hemoglobin concentration(rs6665948:1:0.01);Lung function (FEV1/FVC)(rs6665948:1:0.01);Mean corpuscular haemoglobin(rs6665948:1:0.04);Mean corpuscular hemoglobin concentration(rs6665948:1:0.02;rs6665948:1:0.02;rs6665948:1:0.02);Mean corpuscular hemoglobin(rs6665948:1:0.03;rs6665948:1:0.03;rs6665948:1:0.02);Mean corpuscular volume(rs6665948:1:0.02;rs6665948:1:0.09;rs6665948:1:0.02);Optic disc size(rs599892:0.69:NA);Peak expiratory flow(rs6665948:1:0.02);Platelet crit(rs10652572:0.66:0);Platelet distribution width(rs6665948:1:0.02);Red blood cell (erythrocyte) distribution width(rs6665948:1:-0.02);Red cell distribution width(rs6665948:1:-0.02;rs6665948:1:-0.03;rs6665948:1:-0.02;rs6665948:1:-0.02);Serum alkaline phosphatase levels(rs879037:0.62:-7.99;rs1180322:0.61:-0.02);Sex hormone-binding globulin levels adjusted for BMI(rs6665948:1:0.01;rs6665948:1:0.01;rs6665948:1:0.01);Sex hormone-binding globulin levels(rs6665948:1:0.01;rs6665948:1:0.01;rs6665948:1:0.01);Sitting height(rs12402990:0.92:-0.06;rs6665948:1:-0.06);Snoring(rs75144690:0.62:NA);Total testosterone levels(rs6665948:1:0.02)	BMP8A(eqtl:0.9:rs6665948;sqtl:0.6:rs6665948);HPCAL4(eqtl:0.7:rs6665948);MACF1(eqtl:0.9:rs6665948;sqtl:0.5:rs6665948);PABPC4(eqtl:0.8:rs6665948;sqtl:0.7:rs6665948);PPIE(eqtl:0.2:rs6665948)
1p33	0	60584802	0.69 0.5 0.78 0.44 0.53	0.0 0.03 0.03 0.24 0.89	198607	198607	60485498	60684105	0.01	0.05	0	0	0	0	1	1	0	0	0	C1orf87(eqtl:0.8:rs651719;sqtl:0.4:rs651719);CYP2J2(eqtl:0.2:rs651719);HOOK1(eqtl:0.2:rs651719)
1p33	0	94343023	0.65 0.62 0.47 0.44 0.63	0.01 0.01 0.02 0.89 1.12	198607	198607	94243719	94442326	0.01	0.04	0	0	0	0	4	3	0	0	Serum polyunsaturated fatty acid concentration x sex interaction in metabolic syndrome [total PUFA](rs3747965:0.9:NA)	BCAR3(eqtl:0.2:rs2391322);DNTTIP2(eqtl:1:rs2391322;sqtl:0.2:rs2391322);DR1(eqtl:0.2:rs2391322);GCLM(eqtl:0.1:rs2391322);TMED5(eqtl:0.5:rs2391322)
1p33	0	99108691	0.63 0.45 0.68 0.58 0.63	0.0 0.02 0.03 0.42 1.1	198607	198607	99009387	99207994	0.01	0.04	0	0	0	0	1	0	0	0	0	SNX7(eqtl:0.6:rs12083485)
1p33	0	113566057	0.67 0.72 0.54 0.32 0.63	0.0 0.01 0.01 0.5 0.89	198607	198607	113466753	113665360	0.01	0.02	0	0	0	0	5	2	0	0	0	0
1p33	0	185219680	0.66 0.45 0.58 0.6 0.67	0.0 0.01 0.01 0.41 0.92	198607	198607	185120376	185318983	0.01	0.03	0	0	0	0	4	3	0	0	Cystatin C levels(rs10737256:0.62:-0.01);Hand grip strength (left)(rs3753569:0.62:0.11);Lymphocyte counts(rs10489579:0.85:-0.01);Platelet count(rs10174:0.64:-0.02;rs10174:0.64:-0.02;rs12135172:1:-0.85;rs12135172:1:-0.02;rs12135172:1:-0.02);Platelet crit(rs12135172:1:0);Plateletcrit(rs10174:0.64:-0.02;rs12135172:1:-0.02);Reticulocyte count(rs12044943:0.6:-0.01);Sex hormone-binding globulin levels(rs12081098:0.62:0.01);Urate levels(rs6674490:0.6:0);Walking pace(rs10797999:0.61:0.01)	EDEM3(eqtl:0.3:rs12135172);IVNS1ABP(eqtl:0.7:rs12135172);RNF2(eqtl:0.5:rs12135172);SWT1(eqtl:0.6:rs12135172;sqtl:0.9:rs12135172);TRMT1L(eqtl:0.3:rs12135172)
1p33	0	226383764	0.61 0.6 0.44 0.65 0.58	0.0 0.02 0.02 0.34 0.92	198607	198607	226284460	226483067	0.01	0.04	0	0	0	0	4	2	0	0	0	ACBD3(eqtl:0.9:rs9660542);H3-3A(eqtl:0.6:rs9660542);TMEM63A(eqtl:0.5:rs9660542)
1p33	0	243214611	0.65 0.5 0.46 0.67 0.71	0.0 0.01 0.02 0.49 1.04	198607	198607	243115307	243313914	0.01	0.05	0	0	0	0	2	1	0	0	Acceptance of an invitation to participate in a mental health questionnaire(rs2789111:0.62:NA);Diastolic blood pressure(rs6662118:0.61:0.02);Mean arterial pressure(rs4658552:0.61:0.01);Mental health study participation (completed survey)(rs2789111:0.62:-0.01);Multisite chronic pain(rs12071912:0.93:0.02;rs9700909:0.93:NA);Red blood cell (erythrocyte) distribution width(rs140816120:0.61:0.02);Red cell distribution width(rs67686929:0.61:0.02;rs2171974:0.61:NA;rs2171973:0.62:0.02)	CEP170(eqtl:0.4:rs9700808);SDCCAG8(eqtl:0.8:rs9700808)
1p33	0	246476240	0.7 0.78 0.44 0.27 0.64	0.0 0.01 0.03 0.32 1.0	198607	198607	246376936	246575543	0.01	0.05	0	0	0	0	1	1	0	0	0	0
1q25.1-1	1	176043089	0.45 0.31 0.31 0.44 0.44	0.0 0.0 0.01 0.27 1.21	274264	274263	175906676	176180939	0.02	0.02	0	0	0	0	3	0	0	1	Bipolar disorder or major depressive disorder(rs10913112:0.81:NA);Depression(rs10913112:0.81:NA);Depressive symptoms(rs4526571:0.81:-0.01);Hip index(rs12024295:0.72:NA);Life satisfaction(rs4526571:0.81:-0.01);Major depressive disorder (MTAG)(rs12040241:0.81:-0.03);Neuroticism(rs4526571:0.81:-0.01);Positive affect(rs4526571:0.81:-0.01);Well-being spectrum (multivariate analysis)(rs10913160:0.72:NA)	COP1(eqtl:0.9:rs10218714;sqtl:0.1:rs10218714);PAPPA2(eqtl:0.9:rs10218714)
1q25.1-1	0	6790946	0.41 0.29 0.4 0.45 0.4	0.02 0.03 0.04 0.37 1.04	274264	274264	6653814	6928078	0.02	0.07	0	0	0	0	7	2	0	0	Externalizing behaviour (multivariate analysis)(rs277686:0.66:NA);Heel bone mineral density(rs11122122:1:-0.01);Mean spheric corpuscular volume(rs11122122:1:-0.01)	CAMTA1(sqtl:0.2:rs11122122);NOL9(eqtl:0.4:rs11122122);PHF13(eqtl:0.8:rs11122122);PLEKHG5(eqtl:0.3:rs11122122);THAP3(eqtl:0.5:rs11122122;sqtl:0.1:rs11122122);TNFRSF25(eqtl:0.3:rs11122122)
1q25.1-1	0	8738937	0.43 0.36 0.55 0.16 0.38	0.0 0.01 0.01 0.21 1.34	274264	274264	8601805	8876069	0.02	0.03	0	0	0	0	1	1	0	0	"Allergic disease (asthma, hay fever or eczema)(rs4908507:1:0.04);Asthma or allergic disease (pleiotropy)(rs301805:0.66:NA);Asthma | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor(rs4908507:1:0.04);Asthma | non-cancer illness code, self-reported(rs4908507:1:0.04);Asthma(rs4908507:1:0.04;rs4908507:1:0);Body fat percentage(rs301806:0.65:0.1);Daytime nap(rs4908507:1:0.01);Eczema(rs301806:0.65:NA);Eosinophil counts(rs301805:0.66:0.02;rs4908507:1:0.02;rs4908507:1:0.01;rs4908507:1:0.01);Eosinophil percentage of granulocytes(rs4908507:1:0.03);Eosinophil percentage of white cells(rs4908507:1:0.02;rs4908507:1:0.03);Eosinophill count(rs4908507:1:0.01);Eosinophill percentage(rs4908507:1:0.04);Feeling tense(rs4908507:1:-0.01);Hayfever, allergic rhinitis or eczema | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor(rs4908507:1:0.04);Heel bone mineral density (bmd) t-score, automated(rs4908507:1:-0.03);Heel bone mineral density (bmd)(rs4908507:1:0);Heel bone mineral density(rs4908507:1:-0.02;rs4908507:1:-0.02);Heel broadband ultrasound attenuation, direct entry(rs4908507:1:-0.41);Heel quantitative ultrasound index (qui), direct entry(rs4908507:1:-0.46);Leg fat percentage (left)(rs4908507:1:0.07);Leg fat percentage (right)(rs4908507:1:0.08);Lymphocyte counts(rs301805:0.66:-0.02;rs4908507:1:-0.02;rs4908507:1:-0.02;rs4908507:1:-0.02);Medication use (adrenergics, inhalants)(rs159960:0.67:0.05);Neutrophil count(rs301805:0.66:-0.01;rs4908507:1:-0.01;rs4908507:1:-0.01);Neutrophil percentage of granulocytes(rs4908507:1:-0.02);None of the above | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor(rs4908507:1:-0.04);Smoking initiation(rs301805:0.66:NA);Smoking status (ever vs never smokers)(rs301805:0.66:0.01);Smoking status(rs301805:0.66:NA);Systemic lupus erythematosus(rs3795310:0.66:NA);Tense / 'highly strung'(rs4908507:1:-0.04);Thyroid problem (not cancer)(rs301805:0.66:NA);White blood cell count(rs4908507:1:-0.02;rs4908507:1:-0.01)"	ENO1(eqtl:0.8:rs4908507);RERE(eqtl:1:rs4908507;sqtl:0.9:rs4908507);SLC45A1(eqtl:0.5:rs4908507)
1q25.1-1	0	21241432	0.42 0.23 0.35 0.53 0.49	0.0 0.0 0.0 0.3 1.06	274264	274264	21104300	21378564	0.02	0.02	0	0	0	0	3	2	0	0	Appendicular lean mass(rs6699704:1:-0.02;rs6699704:1:-0.01);Basophil count(rs6699704:1:0.02;rs6699704:1:0.02);Basophil percentage of granulocytes(rs546464445:0.95:0.02;rs6699704:1:0.02);Basophil percentage of white cells(rs546464445:0.95:0.02;rs6699704:1:0.02);Basophill percentage(rs6699704:1:0.01);Comparative height size at age 10(rs6699704:1:-0.01);Eosinophil counts(rs2100382:0.99:0.01;rs12042978:1:0.01;rs6699704:1:0.01;rs6699704:1:0.01);Eosinophil percentage of white cells(rs2100382:0.99:0.01;rs6699704:1:0.01);Lymphocyte counts(rs6698440:0.67:-0.01;rs6699704:1:0.01);Mean corpuscular hemoglobin(rs10916916:0.61:0.02;rs7556221:0.66:NA;rs6699704:1:-0.01;rs6699704:1:-0.01);Mean corpuscular volume(rs6699704:1:-0.01;rs6699704:1:-0.01);Mean sphered cell volume(rs12035087:0.66:-0.08;rs6699704:1:-0.07);Mean spheric corpuscular volume(rs6699704:1:-0.02);Morningness(rs10916866:0.61:-0.02);Neutrophil percentage of white cells(rs3121071:1:-0.01;rs6699704:1:-0.01);Red blood cell count(rs6699704:1:0.01;rs6699704:1:0.01);Red cell distribution width(rs541464:0.79:NA;rs6699704:1:0.01);Sitting height(rs6699704:1:-0.05);Social science traits (pleiotropy) (HIPO component 1)(rs2874367:0.67:NA);Standing height(rs6699704:1:-0.12);Trunk fat-free mass(rs6699704:1:-0.05);Trunk predicted mass(rs6699704:1:-0.04);Well-being spectrum (multivariate analysis)(rs4654874:0.61:0.01);White blood cell count (basophil)(rs10799673:1:0.02;rs6699704:1:0.02)	ECE1(eqtl:0.2:rs6699704;sqtl:0.5:rs6699704);EIF4G3(eqtl:0.8:rs6699704;sqtl:0.7:rs6699704);HP1BP3(eqtl:1:rs6699704);KIF17(eqtl:0.8:rs6699704;sqtl:0.7:rs6699704)
1q25.1-1	0	48704437	0.5 0.23 0.42 0.4 0.42	0.0 0.02 0.03 0.36 1.2	274264	274264	48567305	48841569	0.02	0.05	0	0	0	0	3	1	0	0	0	SLC5A9(eqtl:0.9:rs1005538);SPATA6(eqtl:0.1:rs1005538;sqtl:0.3:rs1005538)
1q25.1-1	0	111567469	0.41 0.13 0.57 0.48 0.38	0.0 0.03 0.08 0.58 1.4	274264	274264	111430337	111704601	0.02	0.1	0	0	0	0	4	2	0	0	Mean platelet (thrombocyte) volume(rs1282334:1:-0.02);Mean platelet volume(rs1282334:1:-0.02;rs1282334:1:-0.02)	CD53(eqtl:0.5:rs1282334);CEPT1(eqtl:0.6:rs1282334);CHI3L2(eqtl:0.6:rs1282334);DENND2D(eqtl:0.6:rs1282334;sqtl:0.7:rs1282334);DRAM2(eqtl:1:rs1282334;sqtl:1:rs1282334)
1q25.1-1	0	158553332	0.42 0.42 0.25 0.49 0.44	0.01 0.02 0.03 0.45 1.2	274264	274264	158416200	158690464	0.02	0.1	0	0	0	0	9	0	0	0	Hemoglobin A1c levels(rs2779116:0.75:0.03);Hemoglobin concentration(rs863368:1:-0.01);Hemoglobin(rs863368:1:-0.01);High light scatter reticulocyte count(rs863368:1:0;rs863368:1:-0.04;rs863368:1:-0.04);High light scatter reticulocyte percentage of red cells(rs863368:1:-0.04;rs863368:1:-0.04);High light scatter reticulocyte percentage(rs863368:1:-0.01);Immature fraction of reticulocytes(rs863368:1:0.02);Immature reticulocyte fraction(rs863368:1:0);Lymphocyte counts(rs857708:1:NA;rs863368:1:0.02;rs863368:1:0.02;rs863368:1:0.02);Lymphocyte percentage of white cells(rs863368:1:0.02;rs863368:1:0.02);Lymphocyte percentage(rs863368:1:0.11);Mean corpuscular haemoglobin concentration(rs863368:1:-0.03);Mean corpuscular hemoglobin concentration(rs857684:0.78:NA;rs863368:1:-0.04;rs863368:1:-0.04;rs863368:1:-0.05);Mean corpuscular volume(rs863368:1:0.08;rs863368:1:0.02;rs863368:1:0.02);Mean platelet volume(rs863368:1:0.01;rs863368:1:0.01);Mean reticulocyte volume(rs863368:1:0.08;rs863368:1:0.56);Mean sphered cell volume(rs863368:1:0.45);Mean spheric corpuscular volume(rs863368:1:0.11);Neurofibrillary tangles (SNP x SNP interaction)(rs1103852:0.99:NA);Neutrophil percentage of white cells(rs863368:1:-0.02;rs863368:1:-0.02);Neutrophill percentage(rs863368:1:-0.12);Platelet distribution width(rs863368:1:-0.01);Red blood cell (erythrocyte) distribution width(rs863368:1:0.01);Red cell distribution width(rs863368:1:0.02;rs863368:1:0.02);Reticulocyte count(rs863368:1:-0.07;rs863368:1:-0.07;rs863368:1:0);Reticulocyte fraction of red cells(rs863368:1:-0.07;rs863368:1:-0.07);Reticulocyte percentage(rs863368:1:-0.03);Total bilirubin levels(rs2022003:0.74:NA)	CD1B(eqtl:0.2:rs863368);CD1D(eqtl:0.4:rs863368);CD1E(eqtl:0.4:rs863368);SPTA1(eqtl:0.4:rs863368)
1q25.1-1	0	166845122	0.47 0.53 0.34 0.3 0.34	0.0 0.01 0.03 0.33 1.13	274264	274264	166707990	166982254	0.02	0.1	0	0	0	0	4	2	0	0	0	ILDR2(eqtl:0.9:rs6427038;sqtl:0.7:rs6427038);MAEL(eqtl:1:rs6427038);POGK(eqtl:0.9:rs6427038);TADA1(eqtl:0.8:rs6427038)
1q25.1-1	0	211232350	0.4 0.3 0.49 0.3 0.4	0.0 0.03 0.05 0.35 1.02	274264	274264	211095218	211369482	0.02	0.08	0	0	0	0	2	0	0	0	0	0
1q25.1-1	0	228738446	0.42 0.1 0.46 0.49 0.41	0.0 0.0 0.02 0.28 1.02	274264	274264	228601314	228875578	0.02	0.09	0	0	0	0	26	1	0	0	0	H2AW(eqtl:0.5:rs4653978);MRPL55(sqtl:0.2:rs4653978);OBSCN(eqtl:0.4:rs4653978);RHOU(eqtl:0.4:rs4653978);RNF187(eqtl:0.5:rs4653978)
1q42.12	1	225247025	0.88 0.33 0.78 0.71 0.73	0.0 0.0 0.0 0.09 0.45	183069	183068	225156683	225339751	0.02	0.02	0	0	0	0	1	1	0	0	0	DNAH14(eqtl:0.1:rs2489346;sqtl:0.5:rs2489346)
1q42.12	0	10218377	0.86 0.2 0.79 0.7 0.81	0.0 0.03 0.04 0.16 0.65	183069	183069	10126842	10309911	0.02	0.05	0	0	0	0	2	2	0	0	Height(rs2273298:1:0.02;rs2273298:1:0.02);Hip circumference adjusted for BMI(rs11121525:0.88:0.03);Sex hormone-binding globulin levels(rs61782924:0.81:0.01;rs10864443:0.84:0.01;rs2273298:1:0.01);Sitting height(rs11121522:0.69:0.09);Standing height(rs11121522:0.69:0.21;rs2273298:1:0.19)	DFFA(eqtl:0.4:rs2273298);LZIC(eqtl:0.9:rs2273298;sqtl:0.4:rs2273298);NMNAT1(eqtl:0.6:rs2273298);RBP7(eqtl:0.9:rs2273298);UBE4B(eqtl:0.9:rs2273298;sqtl:0.7:rs2273298)
