POP,IN_SPAN,R2,CLADESIZE,AF_EUR,START,END,TIME_LOW,TIME_HIGH,SNP,MRCA
EUR,0,0.626340279,110,0.109343936,43646465.5,43649396,481.9568787,496.9165344,,51919.87109
EUR,0,0.625600671,113,0.112326044,43649396,43649972.5,1692.260254,2050.153076,,76695.30469
EUR,0,0.737655035,329,0.327037773,43649972.5,43651232.5,1839.299683,1927.048096,,57743.32813
EUR,0,0.69807312,355,0.352882704,43651232.5,43651298.5,1469.004395,1594.742188,,51176.94922
EUR,0,0.734831927,336,0.333996024,43651298.5,43651399.5,1097.518066,1170.296997,,110573.875
EUR,0,0.732850383,337,0.33499006,43651399.5,43651553,907.6919556,925.6132813,,80738.14844
EUR,0,0.732850383,337,0.33499006,43651553,43651667,1183.478394,1248.496826,,107213.6484
EUR,0,0.732850383,337,0.33499006,43651667,43652365,1126.951416,1174.539551,,58423.94922
EUR,0,0.741480688,339,0.336978131,43652365,43653105,1274.346069,1341.743042,,57718.50391
EUR,0,0.743255477,329,0.327037773,43653105,43653693,922.7368164,932.7071533,,62409.46875
EUR,0,0.738811265,334,0.332007952,43653693,43653882,867.4240723,967.5552368,,53252.78906
EUR,0,0.738811265,334,0.332007952,43653882,43654118,1012.210693,1172.951294,,55275.0625
EUR,0,0.763246309,328,0.326043738,43654118,43654770.5,750.993042,788.6583252,,70551.11719
EUR,0,0.848436416,185,0.18389662,43654770.5,43654894.5,980.3001709,1033.561768,,72735.47656
EUR,0,0.843329656,183,0.181908549,43654894.5,43654951,906.4365234,992.0947876,,59191.69531
EUR,0,0.851154837,194,0.192842942,43654951,43655654.5,1045.009521,1102.384888,,65973.3125
EUR,0,0.861374263,190,0.188866799,43655654.5,43655918,1131.384155,1196.42041,,97944.67188
EUR,0,0.861374263,190,0.188866799,43655918,43657436,923.0701904,1015.991333,43657393,57207.62109
EUR,0,0.920510778,214,0.212723658,43657436,43658114.5,1105.936646,1164.33313,,46628.875
EUR,0,0.856169534,188,0.186878728,43658114.5,43658131.5,2556.498291,6784.787109,,70787.44531
EUR,0,0.885298096,199,0.197813121,43658131.5,43659151.5,2452.243896,3534.474121,,53179.07813
EUR,0,0.87990924,197,0.19582505,43659151.5,43659470,3467.695313,6908.768066,,78179.14063
EUR,0,0.890729378,201,0.199801193,43659470,43659676.5,18948.59766,56182.13281,,56182.13281
EUR,0,0.890729378,201,0.199801193,43659676.5,43660195.5,6849.595215,85903.65625,43659738,85903.65625
EUR,0,0.840397439,182,0.180914513,43660195.5,43660684.5,9872.407227,18932.84961,,54621.12891
EUR,0,0.962801707,230,0.228628231,43660684.5,43661232,12699.6416,227230.7656,,227230.7656
EUR,0,0.962801707,230,0.228628231,43661232,43661272.5,5569.687012,229469.0938,,229469.0938
EUR,0,0.960052095,229,0.227634195,43661272.5,43664278.5,4877.15918,178839.9219,,178839.9219
EUR,0,0.986571561,239,0.237574553,43664278.5,43664903,11759.59375,187295.0938,,187295.0938
EUR,0,0.986617763,241,0.239562624,43664903,43665828,12250.55078,200795.4531,43665322 43665379 43665468,200795.4531
EUR,0,0.994611215,242,0.24055666,43665828,43668832.5,12437.5293,188549.3594,43666820 43668455 43665838 43668815 43667792 43666001 43665906 43668017 43667836 43666906 43666492 43667934,188549.3594
EUR,0,0.894928105,200,0.198807157,43668832.5,43669478,6491.355957,48863.78906,,48863.78906
EUR,0,0.994611215,242,0.24055666,43669478,43671975.5,26344.25,220279.5313,43670018 43669923 43670754 43671737 43671174 43671739 43671471 43670073 43671099,220279.5313
EUR,0,0.991921319,241,0.239562624,43671975.5,43673275,26240.54688,44636.51563,,44636.51563
EUR,0,0.989245831,244,0.242544732,43673275,43673779,4024.161133,9610.619141,,78441.875
EUR,0,0.989245831,244,0.242544732,43673779,43673906,2595.852051,55018.40625,43673792,55018.40625
EUR,0,0.989245831,244,0.242544732,43673906,43674926,4974.754883,21959.8125,,53512.47266
EUR,0,0.989245831,244,0.242544732,43674926,43675446.5,7411.743652,34030.29688,,60145.65234
EUR,0,0.989245831,244,0.242544732,43675446.5,43676030,22446.5,34308.53906,,51464.25391
EUR,0,0.989245831,244,0.242544732,43676030,43677708.5,11589.96973,13469.45508,,71514.5625
EUR,0,0.915961694,215,0.213717694,43677708.5,43677775,3963.44165,15425.08984,,75871.5
EUR,0,0.916807153,213,0.211729622,43677775,43685842.5,3332.720459,18449.47266,43685826 43685707 43679121 43682098 43681304 43683611 43685021,32651.07422
EUR,1,1,242,0.24055666,43685842.5,43689347,4619.217773,28340.25781,43688249 43688387 43686420,35952.78125
EUR,1,1,242,0.24055666,43689347,43690540,5893.228516,37642.65625,43690468,38132.77734
EUR,1,1,242,0.24055666,43690540,43691986.5,6969.10498,36079.61719,,41678.57813
EUR,1,1,242,0.24055666,43691986.5,43693351,14216.61816,33005.04688,43692935,36327.76172
EUR,1,1,242,0.24055666,43693351,43694573.5,17253.00391,30516.79883,43693538,48510.22266
EUR,1,1,242,0.24055666,43694573.5,43697284,5647.976074,40093.28906,43696920,40093.28906
EUR,1,1,242,0.24055666,43697284,43733206.5,15937.35645,39617.17578,,55292.39063
EUR,1,0.997310682,241,0.239562624,43733206.5,43733261,5012.080078,29283.69531,,60554.56641
EUR,1,0.997310682,241,0.239562624,43733261,43734264.5,5283.518555,38268.55859,43733983,66125.23438
EUR,1,0.997310682,241,0.239562624,43734264.5,43735461,1740.778076,87337.05469,43735276,87337.05469
EUR,1,0.997310682,241,0.239562624,43735461,43735594.5,2466.74585,95288.44531,43735555,95288.44531
EUR,1,0.997310682,241,0.239562624,43735594.5,43736482,8611.486328,82969.79688,,82969.79688
EUR,1,0.997310682,241,0.239562624,43736482,43737197,5176.137695,75737.0625,43736504 43736763 43737040,75737.0625
EUR,1,0.997310682,241,0.239562624,43737197,43742652.5,5747.390137,66150.21875,43738627 43741028 43740967 43741452 43741136 43738676,66150.21875
EUR,1,0.997310682,241,0.239562624,43742652.5,43743042.5,3057.473389,13440.08008,,72693.77344
EUR,1,0.997310682,241,0.239562624,43743042.5,43745427,5973.672852,49993.98828,43744990,49993.98828
EUR,1,0.997310682,241,0.239562624,43745427,43746241,2807.490479,22469.7168,,94790.63281
EUR,1,0.997310682,241,0.239562624,43746241,43748700,4167.013672,138440.5156,43746721 43747683 43748046 43746418 43746839 43747677,138440.5156
EUR,1,0.997310682,241,0.239562624,43748700,43749214.5,7561.793457,33886.69922,43749168,65206.73828
EUR,1,0.997310682,241,0.239562624,43749214.5,43750851,4431.193848,147258.3125,43749579 43749454 43750137 43749949 43750238,147258.3125
EUR,1,0.997310682,241,0.239562624,43750851,43751090,6019.080078,25910.58008,43750939,85557.53125
EUR,1,0.997310682,241,0.239562624,43751090,43751972.5,4827.5,201191.1563,43751246,201191.1563
EUR,1,0.997310682,241,0.239562624,43751972.5,43755895.5,10051.38477,193235.0313,43752039 43754569 43753454 43754576 43752566 43754010,193235.0313
EUR,1,0.997310682,241,0.239562624,43755895.5,43757571,7432.044922,195660.7656,43756376 43756833 43756506 43756340,195660.7656
EUR,1,0.997310682,241,0.239562624,43757571,43758805,7859.268555,217003.7813,43757777 43758148 43758790 43758078,217003.7813
EUR,1,0.997310682,241,0.239562624,43758805,43758852.5,10516.9541,200924.6875,,200924.6875
EUR,1,0.997310682,241,0.239562624,43758852.5,43761561.5,7527.133301,213621.9375,43760192 43760577 43760516 43760199 43760599,213621.9375
EUR,1,0.997310682,241,0.239562624,43761561.5,43765671.5,4233.79541,211892.2344,43761856 43763202 43765381 43762537 43763241 43765450 43764685 43762255 43764847 43761939 43761974 43765080 43764378 43764987 43764796 43762429,211892.2344
EUR,1,0.997310682,241,0.239562624,43765671.5,43766310,2210.021484,198412.6406,43765778,198412.6406
EUR,1,0.997310682,241,0.239562624,43766310,43768284.5,22710.97852,214081.0156,43767538 43766418 43767628 43767815,214081.0156
EUR,1,0.997310682,241,0.239562624,43768284.5,43776441.5,10036.34961,193909.7188,43768727 43768346 43768347 43770525 43773607 43775015 43775145 43769516 43768496 43770416 43768501 43771193 43775929 43776061 43773124 43772109 43773784 43769321 43770995 43776371 43772407 43772540 43774845,193909.7188
EUR,1,0.997310682,241,0.239562624,43776441.5,43778929,10444.50391,193881.1719,43778752 43776787 43776742,193881.1719
EUR,1,0.997310682,241,0.239562624,43778929,43781716.5,26581.18555,200293.5938,43781505 43781250 43779624 43780561 43781105,200293.5938
EUR,1,0.997310682,241,0.239562624,43781716.5,43783324.5,7024.346191,191735.25,43782304 43782492 43782693 43782558,191735.25
EUR,1,0.997310682,241,0.239562624,43783324.5,43783631.5,20043.54297,211189.6563,,211189.6563
EUR,1,0.997310682,241,0.239562624,43783631.5,43783793.5,14816.23828,22741.37305,,68785.45313
EUR,1,0.997310682,241,0.239562624,43783793.5,43783936.5,21302.83789,236433.2031,43783803,236433.2031
EUR,1,0.997310682,241,0.239562624,43783936.5,43784225.5,25329.59961,216983.2656,,216983.2656
EUR,1,0.997310682,241,0.239562624,43784225.5,43784767,12186.95313,231422.9219,,231422.9219
EUR,1,0.997310682,241,0.239562624,43784767,43785082,28588.16602,224631.375,,224631.375
EUR,1,0.997310682,241,0.239562624,43785082,43787329.5,21736.4082,224271.2813,43785349 43786698 43785938 43787226 43785627 43786013,224271.2813
EUR,1,0.997310682,241,0.239562624,43787329.5,43788808,6050.297852,225684.1719,43788419 43788782 43788371 43788666 43788767,225684.1719
EUR,1,0.997310682,241,0.239562624,43788808,43790030.5,6646.516602,231974.4844,43789978 43789971,231974.4844
EUR,1,0.997310682,241,0.239562624,43790030.5,43791499.5,2599.663818,200480.1719,43790401 43791332 43791429 43791181 43790770 43790911,200480.1719
EUR,1,0.997310682,241,0.239562624,43791499.5,43794147.5,3278.765869,236696.2344,43793665 43793828 43791610 43792586 43793388 43792975 43793200 43793651 43792090 43792411 43793342 43793951,236696.2344
EUR,1,0.997310682,241,0.239562624,43794147.5,43794246,3011.801025,207971.9219,43794182,207971.9219
EUR,1,0.997310682,241,0.239562624,43794246,43794953.5,4428.62207,198185.625,43794286,198185.625
EUR,1,0.997310682,241,0.239562624,43794953.5,43795520.5,2437.4646,38741.68359,43795238,102534.1484
EUR,1,0.997310682,241,0.239562624,43795520.5,43796081,4792.415527,155390.2969,43795768 43795634,155390.2969
EUR,1,0.997310682,241,0.239562624,43796081,43797856.5,5607.510742,145135.6875,43797246 43797087,145135.6875
EUR,1,0.997310682,241,0.239562624,43797856.5,43799821.5,2017.095825,144838.875,43798401 43799810 43799048 43798160 43799509 43798902 43798903 43798775 43799804,144838.875
EUR,1,0.997310682,241,0.239562624,43799821.5,43803183.5,3188.831787,160089.25,43801593 43802907 43801695,160089.25
EUR,1,0.997310682,241,0.239562624,43803183.5,43803269.5,3355.205811,163102.1719,,163102.1719
EUR,1,0.997310682,241,0.239562624,43803269.5,43804705.5,2676.681641,152919.6875,43804389 43804619 43803788 43804317,152919.6875
EUR,1,0.997310682,241,0.239562624,43804705.5,43804839,8430.481445,27562.01172,,47212.64844
EUR,1,0.997310682,241,0.239562624,43804839,43805083,5493.195801,22826.44141,,110860.9922
EUR,1,0.997310682,241,0.239562624,43805083,43805126.5,9722.138672,15568.8252,,74324.66406
EUR,1,0.997310682,241,0.239562624,43805126.5,43805179.5,4623.831055,5925.60791,,73521.5
EUR,1,0.997310682,241,0.239562624,43805179.5,43805192.5,5608.519043,6992.439941,,56463.24609
EUR,1,0.997310682,241,0.239562624,43805192.5,43805499,7473.854492,9239.733398,,59337.29297
EUR,1,0.997310682,241,0.239562624,43805499,43809078,5343.064941,178647.5469,43809016 43808067 43807911 43808763 43806925 43808443 43808945 43805590 43806264 43807642 43807099 43807485 43806015,178647.5469
EUR,1,0.997310682,241,0.239562624,43809078,43810105,4744.586914,199957.0156,43809264,199957.0156
EUR,1,0.997310682,241,0.239562624,43810105,43814010,13751.52832,208135.7344,43812649 43812684 43811792 43812177 43812624 43812218,208135.7344
EUR,1,0.997310682,241,0.239562624,43814010,43821163,7279.35498,188357.6406,43815713 43818657 43818946 43815141 43820741 43821062 43817608 43817832 43817898 43815820 43818160 43816306 43817459 43816052 43817557 43818611 43819480 43819450,188357.6406
EUR,1,0.997310682,241,0.239562624,43821163,43821612,6543.819824,191874.2031,,191874.2031
EUR,1,0.997310682,241,0.239562624,43821612,43827022.5,3479.67627,184966.625,43825568 43826305 43825478 43823880 43824908 43825711 43824848 43822769 43823889 43825912 43825725 43822398,184966.625
EUR,1,0.997310682,241,0.239562624,43827022.5,43827356,1759.384399,183637.1875,43827209 43827244,183637.1875
EUR,1,0.997310682,241,0.239562624,43827356,43829165,5200.090332,191848.1719,43828617 43827508 43828221 43828935,191848.1719
EUR,1,0.997310682,241,0.239562624,43829165,43829349.5,3262.101807,35056.30859,,71320.14844
EUR,1,0.997310682,241,0.239562624,43829349.5,43829404.5,4906.990234,111370,,111370
EUR,1,0.997310682,241,0.239562624,43829404.5,43830699,3373.314697,30278.21289,43830640 43830685 43830382,60539.60156
EUR,1,0.997310682,241,0.239562624,43830699,43832545,3591.039795,171554.875,43832367,171554.875
EUR,1,0.997310682,241,0.239562624,43832545,43834783,3243.677246,166838.7969,43833921 43832618 43834482,166838.7969
EUR,1,0.997310682,241,0.239562624,43834783,43836396,2128.541504,171008.8906,43834970 43836051 43835854,171008.8906
EUR,1,0.997310682,241,0.239562624,43836396,43837769,3245.594971,176186.0313,43836673 43836578 43837091 43837237 43836920 43837115 43837567,176186.0313
EUR,1,0.997310682,241,0.239562624,43837769,43837908.5,1174.699341,11767.55078,43837782,72127.98438
EUR,1,0.997310682,241,0.239562624,43837908.5,43838110.5,1955.764648,7971.018066,43838014 43838071,110590.0703
EUR,1,0.997310682,241,0.239562624,43838110.5,43838492.5,10986.00684,36368.11719,43838482,75033.26563
EUR,1,0.997310682,241,0.239562624,43838492.5,43838695.5,6246.529785,170643.6563,43838678,170643.6563
EUR,1,0.997310682,241,0.239562624,43838695.5,43839978,22064.92969,179186.9531,43839253 43838919,179186.9531
EUR,1,0.997310682,241,0.239562624,43839978,43840841.5,12438.80957,165944.4375,43840681 43840107,165944.4375
EUR,1,0.997310682,241,0.239562624,43840841.5,43841299,6140.717285,173013.7188,43840899,173013.7188
EUR,1,0.997310682,241,0.239562624,43841299,43841417.5,3313.709717,151850.0938,,151850.0938
EUR,1,0.997310682,241,0.239562624,43841417.5,43842467.5,4648.961914,188647.6719,43841571 43842462,188647.6719
EUR,1,0.997310682,241,0.239562624,43842467.5,43843113.5,3008.161133,165761.7188,,165761.7188
EUR,1,0.997310682,241,0.239562624,43843113.5,43845437,4704.149902,151344.1719,43843395 43843943 43845002 43844044 43845041 43844859 43844798,151344.1719
EUR,1,0.997310682,241,0.239562624,43845437,43848494.5,4126.156738,152583.3281,43846820 43847912 43846668 43847374 43848181 43847095 43848412 43847039,152583.3281
EUR,1,0.997310682,241,0.239562624,43848494.5,43850639.5,4651.01123,152181.4219,43848968 43848761 43849787 43848638,152181.4219
EUR,1,0.997310682,241,0.239562624,43850639.5,43851487.5,4311.900391,157670.1406,,157670.1406
EUR,1,0.997310682,241,0.239562624,43851487.5,43852259.5,3677.459229,153367.0469,43851851 43851971,153367.0469
EUR,1,0.997310682,241,0.239562624,43852259.5,43852596,3820.551758,31096.72266,,88797.53906
EUR,1,0.997310682,241,0.239562624,43852596,43854645,2311.68457,180710.5,43853133 43852621 43853457 43854449 43853109 43853526 43854267,180710.5
EUR,1,0.997310682,241,0.239562624,43854645,43854995,4265.470215,163874.9219,,163874.9219
EUR,1,0.997310682,241,0.239562624,43854995,43855430,4763.378418,51688.14844,,83232.17188
EUR,1,0.997310682,241,0.239562624,43855430,43855440.5,4692.227539,26830.60156,,58290.79297
EUR,1,0.997310682,241,0.239562624,43855440.5,43855465.5,2842.123535,34768.23828,,121566.9844
EUR,1,0.997310682,241,0.239562624,43855465.5,43855597,4956.684082,34274.45313,43855503,46267.61719
EUR,1,0.997310682,241,0.239562624,43855597,43856449.5,4689.527832,69410.53125,,69410.53125
EUR,1,0.997310682,241,0.239562624,43856449.5,43856616.5,3244.265381,14692.625,,55422.05859
EUR,1,0.997310682,241,0.239562624,43856616.5,43862767.5,5231.050293,65250.15625,43856710 43857129 43858187 43858482 43859065 43856730 43861117,65250.15625
EUR,1,0.997310682,241,0.239562624,43862767.5,43867870,3048.461182,64974.82422,,64974.82422
EUR,1,0.997310682,241,0.239562624,43867870,43869519,3078.468018,63454.11719,,63454.11719
EUR,1,0.997310682,241,0.239562624,43869519,43870690.5,2369.929443,71687.07031,,71687.07031
EUR,1,0.997310682,241,0.239562624,43870690.5,43874034.5,2996.860596,14901.3418,43872228 43871982,44582.20703
EUR,1,0.997310682,241,0.239562624,43874034.5,43874948,4178.332031,14866.73047,,50594.35547
EUR,1,0.997310682,241,0.239562624,43874948,43875333.5,3574.708252,17400.64648,,74032.01563
EUR,1,0.997310682,241,0.239562624,43875333.5,43875919.5,5357.641113,14752.61133,,57937.44531
EUR,1,0.997310682,241,0.239562624,43875919.5,43876829.5,4777.030762,21085.37109,,56880.00781
EUR,1,0.997310682,241,0.239562624,43876829.5,43878051,4079.836914,17483.55078,,59552.84375
EUR,1,0.997310682,241,0.239562624,43878051,43879458.5,6270.488281,26891.44141,43879308,55097.22266
EUR,1,0.997310682,241,0.239562624,43879458.5,43880663,8701.145508,28686.93945,,63586.88672
EUR,1,0.997310682,241,0.239562624,43880663,43885018,4437.242188,9622.966797,43881790,46604.30469
EUR,1,0.997310682,241,0.239562624,43885018,43885742,1996.523804,27080.36328,43885291,42135.06641
EUR,1,0.997310682,241,0.239562624,43885742,43888456,4679.235352,45099.38672,43887480,45099.38672
EUR,1,0.997310682,241,0.239562624,43888456,43890563.5,2739.479248,28065.2168,,47797.71875
EUR,1,0.997310682,241,0.239562624,43890563.5,43891658,3635.968262,10405.75293,,40504.62109
EUR,1,0.997310682,241,0.239562624,43891658,43892518.5,3133.274658,12085.37598,,64363.96094
EUR,1,0.997310682,241,0.239562624,43892518.5,43892780,17212.40625,27512.49805,,48984.8125
EUR,1,0.997310682,241,0.239562624,43892780,43894019,12654.01758,185748.2813,43893751,185748.2813
EUR,1,0.997310682,241,0.239562624,43894019,43894089.5,2077.945313,30352.49219,,44767.375
EUR,1,0.997310682,241,0.239562624,43894089.5,43895485.5,4523.004883,237665.0156,43895008 43894510 43894159 43894609 43894547,237665.0156
EUR,1,0.997310682,241,0.239562624,43895485.5,43897122,4465.881348,201181.5625,43896032 43896690 43896528 43895751,201181.5625
EUR,1,0.997310682,241,0.239562624,43897122,43897634.5,4997.693848,198667.4375,43897449 43897130,198667.4375
EUR,1,0.997310682,241,0.239562624,43897634.5,43901780.5,3539.705322,231619.3906,43898887 43899786 43901528 43900817 43900434 43900760 43901238 43899736 43899417 43898459,231619.3906
EUR,1,0.997310682,241,0.239562624,43901780.5,43902770,2866.576904,44946.54688,43902216 43902505 43902522 43902738,94958.17969
EUR,1,0.997310682,241,0.239562624,43902770,43903982,2778.191406,205690.9063,43902944 43903298 43903106 43903842 43903336 43902861 43902842 43903548,205690.9063
EUR,1,0.997310682,241,0.239562624,43903982,43909251.5,4714.149414,228091.0156,43904673 43904610 43907745 43908773 43907143 43905481 43906828 43904110 43905134 43909008 43908151 43908152 43908826 43908989 43907966,228091.0156
EUR,1,0.997310682,241,0.239562624,43909251.5,43910938.5,3856.257813,189651.3906,43910088 43910507 43910262 43910183,189651.3906
EUR,1,0.997310682,241,0.239562624,43910938.5,43913905.5,4863.995117,214465.0625,43911424 43913315 43911525 43912282 43912454 43912582 43911352 43911898 43911036 43912159,214465.0625
EUR,1,0.997310682,241,0.239562624,43913905.5,43915471.5,4195.875488,206882.75,43914981 43914598 43914728 43915312 43914809 43914554 43914558,206882.75
EUR,1,0.997310682,241,0.239562624,43915471.5,43916354,4502.671875,22287.23047,,83664.52344
EUR,1,0.997310682,241,0.239562624,43916354,43918023.5,2812.695068,174342.1875,43917776 43916932 43916509 43917086,174342.1875
EUR,1,0.997310682,241,0.239562624,43918023.5,43919047,3742.434814,182911.625,43918651 43918524 43918613 43918239,182911.625
EUR,1,0.991962252,239,0.237574553,43919047,43919296,3383.987061,192408.6875,43919073,192408.6875
EUR,1,0.997310682,241,0.239562624,43919296,43920440.5,5084.066406,169462.3281,43920411 43919301,169462.3281
EUR,1,0.997310682,241,0.239562624,43920440.5,43922126.5,6429.352051,175621.7344,43921210 43921572 43921754,175621.7344
EUR,1,0.997310682,241,0.239562624,43922126.5,43922932.5,12206.12988,172502.6719,,172502.6719
EUR,1,0.997310682,241,0.239562624,43922932.5,43924323,17763.1543,179578.0469,43924130 43924231 43924200 43924073 43923703 43924219,179578.0469
EUR,1,0.997310682,241,0.239562624,43924323,43924718,4609.532715,195182.0469,43924521,195182.0469
EUR,1,0.997310682,241,0.239562624,43924718,43925423,5244.88916,20537.05273,43924776 43924803,56409.74219
EUR,1,0.994654386,242,0.24055666,43925423,43925724,5010.286133,44420.24219,43925605,88474.07031
EUR,1,0.994654386,242,0.24055666,43925724,43926786.5,10001.55176,157897.8906,43926056 43926755,157897.8906
EUR,1,0.994654386,242,0.24055666,43926786.5,43927692.5,3347.359375,24751.29102,43926992 43927290 43926948 43927255,50891.27734
EUR,1,0.994654386,242,0.24055666,43927692.5,43928548,4521.492188,36501.34375,,52738.92188
EUR,1,0.994654386,242,0.24055666,43928548,43928610,4296.643555,58361.06641,,58361.06641
EUR,1,0.994654386,242,0.24055666,43928610,43928947.5,3742.431396,56405.83984,,56405.83984
EUR,1,0.994654386,242,0.24055666,43928947.5,43929721.5,5398.874023,18558.08984,43929029,42862.38672
EUR,1,0.997310682,241,0.239562624,43929721.5,43930537.5,3613.143555,208510.8594,43930033 43930238,208510.8594
EUR,1,0.997310682,241,0.239562624,43930537.5,43931756.5,3258.239014,203856.1406,43930980 43931626 43930955 43931244 43931245 43931122,203856.1406
EUR,1,0.997310682,241,0.239562624,43931756.5,43932764,2412.139893,186383.2969,43932277 43932049 43931907 43932129,186383.2969
EUR,1,0.902632972,204,0.2027833,43932764,43932788,7714.661133,140192.5781,,140192.5781
EUR,1,0.902632972,204,0.2027833,43932788,43933143,2265.358887,145491.7656,43932789,145491.7656
EUR,1,0.991962252,239,0.237574553,43933143,43933300.5,4019.685547,48165.49609,,79063.23438
EUR,1,0.997310682,241,0.239562624,43933300.5,43933648.5,2388.135498,15469.3125,,76638.89844
EUR,1,0.997310682,241,0.239562624,43933648.5,43933820,26717.7207,194409.8281,,194409.8281
EUR,1,0.986653578,237,0.235586481,43933820,43934040.5,3535.265381,186334.9063,43934016 43933879,186334.9063
EUR,1,0.997310682,241,0.239562624,43934040.5,43935630,4783.524902,182623.4063,43934314 43935118 43934116 43934948,182623.4063
EUR,1,0.997310682,241,0.239562624,43935630,43936443,3311.024414,29688.46289,43935888 43936298 43936011,64399.29688
EUR,1,0.997310682,241,0.239562624,43936443,43936735,3154.689209,38716.86328,,65472.90234
EUR,1,0.997310682,241,0.239562624,43936735,43939125,4004.860596,221402.3438,43937505 43937633 43938499 43938882 43937162 43938634 43936812 43937104 43937460 43938107,221402.3438
EUR,1,0.997310682,241,0.239562624,43939125,43939496,2947.955322,231007.0625,43939395 43939389 43939399 43939255,231007.0625
EUR,1,0.997310682,241,0.239562624,43939496,43939528,2787.806885,223502.875,,223502.875
EUR,1,0.997310682,241,0.239562624,43939528,43943025.5,5134.484863,225396.0625,43939936 43942656 43941858 43941476 43941350 43941608 43940825 43940685 43941710 43940497 43940020 43940021 43939638 43939609 43940188 43942046,225396.0625
EUR,1,0.997310682,241,0.239562624,43943025.5,43945971.5,4391.475586,228717.4063,43943974 43945931 43945106 43943957 43945495 43944158 43945855,228717.4063
EUR,1,0.997310682,241,0.239562624,43945971.5,43946213.5,6005.439453,233076.3594,,233076.3594
EUR,1,0.997310682,241,0.239562624,43946213.5,43946282,2388.032227,9501.326172,,50430.84766
EUR,1,0.997310682,241,0.239562624,43946282,43946356,2376.676758,161496.3281,43946318,161496.3281
EUR,1,0.997310682,241,0.239562624,43946356,43946705,3012.586182,26392.33398,43946536 43946642 43946423,57274.39844
EUR,1,0.997310682,241,0.239562624,43946705,43946708.5,1782.029541,211860.75,,211860.75
EUR,1,0.997310682,241,0.239562624,43946708.5,43948027.5,1823.977783,223193.4844,43946875 43947171 43946838,223193.4844
EUR,1,0.997310682,241,0.239562624,43948027.5,43950317,2633.305176,219688.8125,43949092 43949892 43949448 43948977 43948733 43949342 43948159,219688.8125
EUR,1,0.997310682,241,0.239562624,43950317,43954371.5,2282.192139,212370.0313,43953991 43953307 43953695 43953170 43953043 43954227 43953814 43953719 43954134 43952634 43951995 43952191,212370.0313
EUR,1,0.997310682,241,0.239562624,43954371.5,43956465,2427.993164,208954.9844,43956425 43956390,208954.9844
EUR,1,0.997310682,241,0.239562624,43956465,43958048,2989.195557,209076.1406,43957328 43957269 43957221 43956734,209076.1406
EUR,1,0.997310682,241,0.239562624,43958048,43959869.5,3282.149658,224024.4063,43959752 43959661 43958736 43959092 43958362 43958139 43958172 43959261 43958431,224024.4063
